ticker,strategy,entry_date,exit_date,entry,exit,ret_pct,bars_held,exit_reason,year
GLD,pullback_rsi2_200d,2011-09-26,2011-09-30,157.2771,157.9019,0.3972748662666836,4,strength,2011
TLT,pullback_rsi2_200d,2011-10-11,2011-10-17,78.2215,77.1533,-1.3655644608381756,4,strength,2011
GLD,pullback_rsi2_200d,2011-10-20,2011-10-24,157.7776,160.859,1.9529824643949034,2,strength,2011
TLT,pullback_rsi2_200d,2011-10-24,2011-10-25,75.9806,77.3396,1.7886799563701317,1,strength,2011
XLP,pullback_rsi2_200d,2011-11-02,2011-11-03,20.7502,20.9643,1.0319005056599995,1,strength,2011
GLD,pullback_rsi2_200d,2011-11-18,2011-11-28,167.3972,166.4634,-0.5578651864163509,5,strength,2011
XLP,pullback_rsi2_200d,2011-11-22,2011-11-28,20.5481,20.7491,0.9785238067560709,3,strength,2011
XLU,pullback_rsi2_200d,2011-11-23,2011-11-28,10.2519,10.3199,0.6625986486812785,2,strength,2011
TLT,pullback_rsi2_200d,2011-12-01,2011-12-02,77.9469,79.3631,1.816959702782528,1,strength,2011
GLD,pullback_rsi2_200d,2011-12-13,2011-12-14,162.0219,155.9307,-3.759461580198631,1,stop,2011
TLT,pullback_rsi2_200d,2012-01-06,2012-01-09,79.1799,79.5385,0.4528193383849466,1,strength,2012
XLU,pullback_rsi2_200d,2012-01-18,2012-01-23,10.7745,10.7129,-0.5717395008816184,3,strength,2012
TLT,pullback_rsi2_200d,2012-01-23,2012-01-26,78.0906,78.9949,1.1580194497228913,3,strength,2012
XLP,pullback_rsi2_200d,2012-01-25,2012-01-25,21.8218,22.0972,1.2619079806133637,0,strength,2012
XLE,pullback_rsi2_200d,2012-02-01,2012-02-02,21.4976,21.5088,0.05205242779633412,1,strength,2012
TLT,pullback_rsi2_200d,2012-02-06,2012-02-10,78.6552,78.6999,0.05674235519068649,4,strength,2012
XLV,pullback_rsi2_200d,2012-02-13,2012-02-13,28.2934,28.3153,0.07758302786868843,0,strength,2012
XLB,pullback_rsi2_200d,2012-02-13,2012-02-16,13.8988,13.8859,-0.09281367366409388,3,strength,2012
TLT,pullback_rsi2_200d,2012-02-22,2012-02-22,78.116,78.5317,0.5321871847361992,0,strength,2012
GLD,pullback_rsi2_200d,2012-03-01,2012-03-08,166.2661,165.1147,-0.6924967186892728,5,strength,2012
IWM,pullback_rsi2_200d,2012-03-01,2012-03-06,67.0067,64.7732,-3.3333598629543104,3,stop,2012
XLB,pullback_rsi2_200d,2012-03-01,2012-03-06,13.8541,13.429,-3.0684143041848855,3,stop,2012
SMH,pullback_rsi2_200d,2012-03-06,2012-03-08,14.1103,14.485,2.655939428303422,2,strength,2012
XLI,pullback_rsi2_200d,2012-03-06,2012-03-08,27.9133,28.3097,1.4200708897738945,2,strength,2012
XLE,pullback_rsi2_200d,2012-03-07,2012-03-08,22.0974,22.336,1.079676233639315,1,strength,2012
SPY,pullback_rsi2_200d,2012-03-07,2012-03-08,105.0354,106.3623,1.2632864221702178,1,strength,2012
DIA,pullback_rsi2_200d,2012-03-07,2012-03-08,95.0507,95.8121,0.8009963459197467,1,strength,2012
XLF,pullback_rsi2_200d,2012-03-07,2012-03-08,9.0492,9.193,1.5884398222509644,1,strength,2012
QQQ,pullback_rsi2_200d,2012-03-07,2012-03-08,56.47,57.1337,1.1752640205652032,1,strength,2012
